Q00987	P04637
P49427	Q9Y297
Q00987	Q16665
Q9UM11	Q99741
P38398	Q16777
Q9UK22	P02765
P46934	O14964
Q9UM11	P30304
O15151	P04637
Q13489	Q9NR28
Q00987	P49757
P38398	Q9BXW9
Q9UJX6	O95997
O60260	Q99719
Q9UKB1	P30304
Q9UM11	P04183
Q9Y4K3	P34932
Q9UM11	Q13309
Q9UKB1	P16471
P46934	Q14524
Q9NR09	Q9NR28
Q00987	Q16778
Q969Q1	P19429
P38398	P24928
Q7Z6Z7	Q07820
Q7Z6Z7	P01106
Q9UK22	P05556
Q9UNE7	Q86WG3
O75150	Q16778
Q9UK22	Q9UNE7
P35226	Q16777
Q96CA5	Q9NR28
Q9UNE7	Q04912
O60260	P42566
P46934	P51170
Q9Y297	Q53EL6
Q9UNE7	P10911
Q8N3Y1	P24385
Q99728	P52434
Q9UKV5	Q15011
Q7Z6J0	Q15011
Q9UKT7	Q49AN0
O60260	Q9NRD5
Q9UNE7	P33402
Q9NRD0	P62330
Q96T88	P68431
Q86Y13	P04908
Q9Y4K3	P51617
P78317	P61956
Q8WZ73	Q13546
Q00987	P00374
Q9UM11	P20248
Q9UM11	O95997
P46934	Q9BSA4
Q9UM11	Q9HAW4
Q00987	P98177
Q9Y4K3	Q14192
O00308	P49281
Q96Q27	P21333
P00748	Q16665
Q9Y297	P24864
Q00987	Q7LG56
Q00987	P14316
P38398	P31749
P49427	P46527
Q8IYW5	Q16777
Q9NS91	Q12888
Q9UNE7	Q8IZQ8
O43255	P55036
Q05086	P55036
P46934	P55036
Q00987	P55036
Q9Y297	P55036
Q969Q1	P19237
O60260	P55036
Q9Y4B6	O75449
Q00987	Q12778
Q6P3S6	P04637
Q05086	P46527
Q9UNE7	P34932
Q9UKV5	P00441
Q9BYM8	Q9Y6K9
Q96FA3	Q13546
Q9NX47	P00441
Q8WZ19	P61586
Q13829	P61586
Q8TDB6	P62805
Q14145	O14920
Q12834	P20248
O60260	Q9Y6K9
Q9UNE7	P07900
P46934	Q9Y3C5
P46934	Q13571
P46934	P51168
Q00987	Q92630
Q9P2J3	Q96GD4
Q9P2N7	Q96GD4
Q92844	Q8IUC6
P46934	Q01959
Q12834	P49454
Q693B1	Q13547
Q53G59	P21917
P15918	Q16695
Q9NZJ0	P12004
Q96CS3	P21359
Q9UKT5	P54274
Q8IUQ4	Q9HB71
Q86TM6	P05067
Q96DX5	P12532
Q99496	Q16777
Q96EP1	Q14527
Q00987	O14746
Q99942	Q7Z434
Q969H0	Q13887
Q9HAU4	Q99717
Q9Y4K3	Q14457
Q12834	Q07820
Q9UNE7	Q9Y2U5
Q05086	Q06830
Q00987	P18847
Q9UMS4	O43395
Q99619	P60321
Q9HCE7	Q9H160
Q7Z6Z7	O75928
Q9Y297	O43524
O95714	P38398
P40337	O14641
P22681	P11274
P09936	Q16637
Q96J02	P08151
Q6R327	O00141
Q9Y297	P01106
Q9UK22	P56817
Q9Y297	Q9GZV5
Q9HAU4	O15169
Q9Y4B6	P13051
Q9UNE7	P10914
O14544	P10721
Q9NZJ0	Q9NQR1
Q8IUQ4	Q15554
O95071	P50750
Q9UNE7	P15559
Q969H0	Q99848
O00308	O15105
O00308	P84022
Q96T88	P26358
Q9BYM8	Q14258
Q96EP0	Q14258
O60260	O00429
P29372	P51668
Q9UM11	O00429
O60858	Q00987
O60858	P31749
O60260	Q6NUN9
Q96J02	O95835
Q9HAU4	P61586
O43164	P10644
O43164	P13861
Q5VTR2	Q16778
Q8NG27	Q15910
P38398	P06401
Q00987	P62979
Q9H469	Q9HCE7
O43791	Q9Y6Q9
Q969V5	P04637
O60260	Q8IWA4
Q9NX47	Q92844
Q13049	P98170
P35226	P16104
Q99496	P16104
Q9UM11	O75496
Q9UM11	P53350
Q9UM11	Q15004
Q969U6	Q6UVJ0
Q9HCI7	Q16778
P38398	P0DP91
Q969Q1	P68133
Q9UM11	O94782
P35226	Q6FI13
Q9Y297	P30305
Q9UKB1	P30305
Q9NTX7	P18887
Q9NTX7	P12956
Q13309	O43524
Q12834	Q9NS23
Q00987	Q9UHR4
Q86YT6	Q9UHD2
Q9UNE7	Q05513
Q9UNE7	P12931
Q13490	O43353
Q13490	Q9Y572
Q13490	P57078
Q13489	O43353
Q13489	Q9Y572
Q13489	P57078
P98170	P57078
Q9HAU4	P41134
Q9HAU4	Q02535
P46934	Q14457
Q96PU4	P24385
Q96PU4	P24864
P46934	P37840
O14508	P10912
P78317	Q8N907
Q9NZJ0	Q92830
Q96PM5	O15350
Q96J02	Q13571
Q7Z6Z7	Q92769
Q8IYU2	P63000
O43255	Q9BSI4
Q9BZR9	O43318
Q12834	P23497
P40337	Q14103
P98170	O95831
Q86XK2	P41182
Q13490	P63000
P98170	O43236
Q7Z6Z7	P12004
Q9UM11	Q86WB0
Q6VVB1	O14641
O76064	O96017
Q7Z6Z7	P15172
Q96EP1	P51532
Q96EP1	Q12824
Q96EP1	Q96GM5
P98170	Q04726
Q9NX47	P46821
Q12834	Q9Y2T1
Q9UKC9	P30279
Q9UKC9	P05067
Q969V5	P31749
Q9UM11	P14635
Q9UM11	Q96BY2
P40337	P10909
Q9Y4B6	Q7L590
Q9UM11	O00716
P29372	P78318
Q8IWV8	Q16777
Q9Y297	O00418
Q9Y297	P35968
O60260	Q9BXM7
Q13049	Q86WV6
P98170	Q6GPH4
Q96J02	O14641
P38398	Q9HAW4
Q8TBB1	Q96KB5
Q8TBB1	Q05586
Q8TBB1	P22459
Q8TBB1	P56750
Q8TBB1	P48546
Q8TBB1	O60828
Q8TBB1	P41595
O43567	O95295
Q68DV7	Q13467
Q5T0T0	Q9NPH3
Q9NS56	P16104
Q6P050	P35609
Q13489	Q92844
Q9BV68	P38936
Q9Y297	Q86T82
Q8N2H9	Q9Y4K3
Q00987	P40424
Q13490	Q8NBP7
Q16531	O15350
Q9H4M3	P38398
Q9UM11	O60566
Q9UM11	Q12834
O76064	O60934
Q00987	P10914
Q9Y4K3	Q16584
P46934	P04198
P46934	P31749
P98170	Q96HS1
Q13490	Q96HS1
Q9HCM9	P04637
Q96PM5	Q9H3D4
P38398	P14635
P37231	Q04206
Q00987	P46531
Q96J02	Q01860
Q96EP1	P09874
Q9BV68	Q9GZX7
Q12834	Q9UBZ9
Q9Y297	Q96T88
Q969H0	Q9UHV7
Q969H0	Q71F56
Q9UNE7	Q00613
Q9UNE7	P29034
Q9UNE7	P25815
Q16531	Q92905
Q92630	O14746
Q9UKC9	Q96GD4
Q9UH77	Q9H4A3
Q9BV68	P00533
Q9Y4L5	P00533
Q96PM5	O96017
Q13490	Q14164
Q92844	Q14164
Q9UH77	Q96J92
Q53GT1	P53350
